balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,1755728,15644672,264623056729191,1755959,15467670,264360631232238,2914.92
all,All,all,13820445,44995876,1612499859895161,3411223,22227969,557140919513144,8504.13
all,All,inactive,1289351,6361067,111405203652579,1289443,6361067,111405203652579,1216.92
all,All,never_spent,10775366,22990137,1236471599513391,365821,399232,181375084628327,4372.28
all,Other,active,61,177335,262434255058,60,333,8758105,31.21
all,Other,all,324009,527552,265864712133,324013,350550,3439215180,92.85
all,Other,inactive,285,804,446948606,286,804,446948606,0.14
all,Other,never_spent,323663,349413,2983508469,323667,349413,2983508469,61.50
all,P2PK,active,101,4988,56251708,103,4988,56251708,0.55
all,P2PK,all,39699,50718,181319551284189,39721,50717,181314551284189,5.63
all,P2PK,inactive,92,1435,57832682605,101,1435,57832682605,0.16
all,P2PK,never_spent,39506,44295,181261662349876,39517,44294,181256662349876,4.92
all,P2PKH,active,1222272,10111222,162847685080027,1222273,10111222,162847685080027,1941.35
all,P2PKH,all,11798654,36759248,1254184846013723,2467838,16208607,272575937592888,7057.78
all,P2PKH,inactive,1241013,6091860,109612813742879,1241019,6091860,109612813742879,1169.64
all,P2PKH,never_spent,9335369,20556166,981724347190817,4546,5525,115438769982,3946.78
all,P2SH,active,533294,5351127,101512881142398,533525,5351127,101512881142398,941.80
all,P2SH,all,1658083,7658358,176729597885116,581576,5618095,103246991420887,1347.87
all,P2SH,inactive,47961,266968,1734110278489,48051,266968,1734110278489,46.99
all,P2SH,never_spent,1076828,2040263,73482606464229,0,0,0,359.09
ge1,All,active,55660,2558995,258823853685848,55891,2381993,258561428188895,477.82
ge1,All,all,557467,5643090,1571634959184874,131532,3559669,548164114236335,1065.22
ge1,All,inactive,39181,1135107,108252762369725,39273,1135107,108252762369725,217.77
ge1,All,never_spent,462626,1948988,1204558343129301,36368,42569,181349923677715,369.63
ge1,Other,active,1,177002,262425496953,0,0,0,31.15
ge1,Other,all,5,177012,263023511184,9,10,598014231,31.15
ge1,Other,inactive,1,6,202304590,2,6,202304590,0.00
ge1,Other,never_spent,3,4,395709641,7,4,395709641,0.00
ge1,P2PK,all,36342,42119,181301327447822,36364,42118,181296327447822,4.68
ge1,P2PK,inactive,14,1261,57472355915,23,1261,57472355915,0.14
ge1,P2PK,never_spent,36328,40858,181243855091907,36339,40857,181238855091907,4.54
ge1,P2PKH,active,46609,1715041,158443504464581,46610,1715041,158443504464581,329.29
ge1,P2PKH,all,493618,4673583,1216763671752447,87414,2846044,265060312916221,897.33
ge1,P2PKH,inactive,38867,1129295,106506135575473,38873,1129295,106506135575473,216.82
ge1,P2PKH,never_spent,408142,1829247,951814031712393,1931,1708,110672876167,351.22
ge1,P2SH,active,9050,666952,100117923724314,9281,666952,100117923724314,117.38
ge1,P2SH,all,27502,750376,173306936473421,9670,671497,101806875858061,132.07
ge1,P2SH,inactive,299,4545,1688952133747,389,4545,1688952133747,0.80
ge1,P2SH,never_spent,18153,78879,71500060615360,0,0,0,13.88
ge10,All,active,12535,1042869,245744787454530,12579,865867,245482361957577,194.05
ge10,All,all,149418,2137537,1457552529826212,57897,1275473,525861185055537,400.57
ge10,All,inactive,9084,372104,99068191774984,9092,372104,99068191774984,71.31
ge10,All,never_spent,127799,722564,1112739550596698,36226,37502,181310631322976,135.22
ge10,Other,active,1,177002,262425496953,0,0,0,31.15
ge10,Other,all,1,177002,262425496953,0,0,0,31.15
ge10,P2PK,all,36228,37482,181270301859511,36232,37481,181265301859511,4.16
ge10,P2PK,inactive,12,1259,56572355915,13,1259,56572355915,0.14
ge10,P2PK,never_spent,36216,36223,181213729503596,36218,36222,181208729503596,4.02
ge10,P2PKH,active,11173,656560,147365390195690,11174,656560,147365390195690,126.06
ge10,P2PKH,all,108044,1675179,1108813096490740,22059,1026383,244852084051443,321.63
ge10,P2PKH,inactive,8979,368543,97384792036373,8983,368543,97384792036373,70.76
ge10,P2PKH,never_spent,87892,650076,864062914258677,1902,1280,101901819380,124.81
ge10,P2SH,active,1361,209307,98116971761887,1405,209307,98116971761887,36.84
ge10,P2SH,all,5145,247874,167206705979008,1507,211609,99743799144583,43.63
ge10,P2SH,inactive,93,2302,1626827382696,102,2302,1626827382696,0.41
ge10,P2SH,never_spent,3691,36265,67462906834425,0,0,0,6.38
ge100,All,active,2013,524644,215870082589268,2029,347642,215607657092315,95.51
ge100,All,all,18448,900187,1021587420455479,3368,422831,294077385562886,167.10
ge100,All,inactive,1305,75145,77239366284593,1304,75145,77239366284593,14.36
ge100,All,never_spent,15130,300398,728477971581618,35,44,1230362185978,57.23
ge100,Other,active,1,177002,262425496953,0,0,0,31.15
ge100,Other,all,1,177002,262425496953,0,0,0,31.15
ge100,P2PK,all,33,544,1167316024980,34,544,1167316024980,0.06
ge100,P2PK,inactive,1,506,17625124980,0,506,17625124980,0.06
ge100,P2PK,never_spent,32,38,1149690900000,33,38,1149690900000,0.00
ge100,P2PKH,active,1708,198296,120634161400901,1709,198296,120634161400901,38.07
ge100,P2PKH,all,17267,543911,864562336809550,2998,271188,196503581824566,104.43
ge100,P2PKH,inactive,1275,72886,75788749137687,1275,72886,75788749137687,13.99
ge100,P2PKH,never_spent,14284,272729,668139426270962,14,6,80671285978,52.36
ge100,P2SH,active,304,149346,94973495691414,320,149346,94973495691414,26.28
ge100,P2SH,all,1147,178730,155595342123996,349,151099,96406487713340,31.46
ge100,P2SH,inactive,29,1753,1432992021926,29,1753,1432992021926,0.31
ge100,P2SH,never_spent,814,27631,59188854410656,0,0,0,4.86
ge1000,All,active,298,352501,168610213611234,297,175499,168347788114281,63.55
ge1000,All,all,1726,536075,640886503485058,420,184731,214350806002938,98.38
ge1000,All,inactive,122,9231,45679700888657,122,9231,45679700888657,1.77
ge1000,All,never_spent,1306,174343,426596588985167,1,1,323317000000,33.06
ge1000,Other,active,1,177002,262425496953,0,0,0,31.15
