balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,621255,5150902,215129085552648,621286,4974382,214866664235707,984.77
all,All,all,4508772,18093078,1400001477136098,1361983,7675029,495779682438330,3463.17
all,All,inactive,603074,2559114,97410176349409,603083,2559114,97410176349409,491.29
all,All,never_spent,3284443,10383062,1087462215234041,137614,141533,183502841853214,1987.11
all,Other,active,83,176657,262745565856,82,137,324248915,31.09
all,Other,all,96886,274305,263874764077,96885,97785,1453447136,48.28
all,Other,inactive,6,6,1223368,6,6,1223368,0.00
all,Other,never_spent,96797,97642,1127974853,96797,97642,1127974853,17.18
all,P2PK,active,32,589,27688762888,42,589,27688762888,0.07
all,P2PK,all,40026,41510,183444358327282,40060,41509,183439358327282,4.61
all,P2PK,inactive,82,695,29699624686,90,695,29699624686,0.08
all,P2PK,never_spent,39912,40226,183386969939708,39928,40225,183381969939708,4.47
all,P2PKH,active,610938,4890831,143700446806952,610940,4890831,143700446806952,939.04
all,P2PKH,all,4299677,17593019,1112597389824282,1214756,7452603,241184923098134,3377.86
all,P2PKH,inactive,602843,2558106,97364732352529,602847,2558106,97364732352529,491.16
all,P2PKH,never_spent,3085896,10144082,871532210664801,969,3666,119743938653,1947.66
all,P2SH,active,10202,82825,71138204416952,10235,82825,71138204416952,14.58
all,P2SH,all,72183,184244,103695854220457,10385,83132,71153947565778,32.43
all,P2SH,inactive,143,307,15743148826,150,307,15743148826,0.05
all,P2SH,never_spent,61838,101112,32541906654679,0,0,0,17.80
ge1,All,active,49845,1733601,212219665056300,49876,1557081,211957243739359,329.70
ge1,All,all,369813,3850825,1384218986802695,116725,2266367,491248655417637,733.02
ge1,All,inactive,29996,670764,95816504663672,30005,670764,95816504663672,128.74
ge1,All,never_spent,289972,1446460,1076182817082723,36844,38522,183474907014606,274.58
ge1,Other,active,1,176520,262421316941,0,0,0,31.07
ge1,Other,all,1,176520,262421316941,0,0,0,31.07
ge1,P2PK,active,4,509,27613840483,14,509,27613840483,0.06
ge1,P2PK,all,36810,37935,183423635074476,36844,37934,183418635074476,4.21
ge1,P2PK,inactive,11,541,29319158108,19,541,29319158108,0.06
ge1,P2PK,never_spent,36795,36885,183366702075885,36811,36884,183361702075885,4.09
ge1,P2PKH,active,49115,1538479,140818612325635,49117,1538479,140818612325635,295.39
ge1,P2PKH,all,328131,3608782,1097085222787827,79209,2210239,236704063130179,692.89
ge1,P2PKH,inactive,29975,670122,95772245865823,29979,670122,95772245865823,128.66
ge1,P2PKH,never_spent,249041,1400181,860494364596369,113,1638,113204938721,268.83
ge1,P2SH,active,725,18093,71111017573241,758,18093,71111017573241,3.18
ge1,P2SH,all,4871,27588,103447707623451,775,18194,71125957212982,4.86
ge1,P2SH,inactive,10,101,14939639741,17,101,14939639741,0.02
ge1,P2SH,never_spent,4136,9394,32321750410469,0,0,0,1.65
ge10,All,active,13052,869158,200324736733157,13069,692638,200062315416216,163.79
ge10,All,all,123083,1571147,1314477626809969,57582,987088,472358573172946,295.51
ge10,All,inactive,7848,256622,88872214706065,7849,256622,88872214706065,49.23
ge10,All,never_spent,102183,445367,1025280675370747,36664,37828,183424043050665,82.49
ge10,Other,active,1,176520,262421316941,0,0,0,31.07
ge10,Other,all,1,176520,262421316941,0,0,0,31.07
ge10,P2PK,active,3,504,27511667601,3,504,27511667601,0.06
ge10,P2PK,all,36666,37705,183385068870844,36670,37704,183380068870844,4.19
ge10,P2PK,inactive,9,539,28419158108,11,539,28419158108,0.06
ge10,P2PK,never_spent,36654,36662,183329138045135,36656,36661,183324138045135,4.07
ge10,P2PKH,active,12666,677999,129042357658467,12668,677999,129042357658467,130.18
ge10,P2PKH,all,84919,1339897,1028305114624779,20569,935242,217974308971954,257.26
ge10,P2PKH,inactive,7836,256076,88832046307957,7838,256076,88832046307957,49.17
ge10,P2PKH,never_spent,64417,405822,810430710658355,63,1167,99905005530,77.92
ge10,P2SH,active,382,14135,70992446090148,400,14135,70992446090148,2.49
ge10,P2SH,all,1497,17025,102525021997405,404,14142,71004195330148,3.00
ge10,P2SH,inactive,3,7,11749240000,4,7,11749240000,0.00
ge10,P2SH,never_spent,1112,2883,31520826667257,0,0,0,0.51
ge100,All,active,2061,478860,169165045156612,2064,302340,168902623839671,88.95
ge100,All,all,16106,607326,941792798148198,3390,357912,240016439920520,113.60
ge100,All,inactive,1290,55529,69872943945871,1290,55529,69872943945871,10.66
ge100,All,never_spent,12755,72937,702754809045715,36,43,1240872134978,13.99
ge100,Other,active,1,176520,262421316941,0,0,0,31.07
ge100,Other,all,1,176520,262421316941,0,0,0,31.07
ge100,P2PK,active,1,502,17507667601,1,502,17507667601,0.06
ge100,P2PK,all,34,541,1177708567601,35,541,1177708567601,0.06
ge100,P2PK,never_spent,33,39,1160200900000,34,39,1160200900000,0.00
ge100,P2PKH,active,1939,293684,98692603043239,1940,293684,98692603043239,56.39
ge100,P2PKH,all,15691,421373,841186125756413,3243,349217,168646218224088,80.90
ge100,P2PKH,inactive,1290,55529,69872943945871,1290,55529,69872943945871,10.66
ge100,P2PKH,never_spent,12462,72160,672620578767303,13,4,80671234978,13.85
ge100,P2SH,active,120,8154,70192513128831,124,8154,70192513128831,1.44
ge100,P2SH,all,380,8892,99166542507243,124,8154,70192513128831,1.56
ge100,P2SH,never_spent,260,738,28974029378412,0,0,0,0.13
ge1000,All,active,233,197112,122106930350766,232,20592,121844509033825,34.91
ge1000,All,all,1685,218960,608842535094954,360,24991,162031479969062,39.10
ge1000,All,inactive,127,4398,39863653935237,127,4398,39863653935237,0.84
ge1000,All,never_spent,1325,17450,446871950808951,1,1,323317000000,3.34
ge1000,Other,active,1,176520,262421316941,0,0,0,31.07
ge1000,Other,all,1,176520,262421316941,0,0,0,31.07
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,186,13463,54321189835385,186,13463,54321189835385,2.58
ge1000,P2PKH,all,1603,34928,517882593221631,314,17861,94184843770622,6.71
ge1000,P2PKH,inactive,127,4398,39863653935237,127,4398,39863653935237,0.84
ge1000,P2PKH,never_spent,1290,17067,423697749451009,1,0,0,3.28
ge1000,P2SH,active,46,7129,67523319198440,46,7129,67523319198440,1.25
ge1000,P2SH,all,80,7511,90374203556382,46,7129,67523319198440,1.32
ge1000,P2SH,never_spent,34,382,22850884357942,0,0,0,0.07
