balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,1913439,12160670,292561357726315,1914180,12160670,292561357726315,2037.73
all,All,all,42912094,83700839,1912489217586819,7451438,31291886,593617442699897,14529.88
all,All,inactive,5098997,18831694,126582210784134,5100256,18645623,126320081246753,3533.23
all,All,never_spent,35899658,52708475,1493345649076370,437002,485593,174736003726829,8958.93
all,Other,active,133,133,1189000,133,133,1189000,0.02
all,Other,all,250310,446509,265404688979,250290,260398,3275111278,78.59
all,Other,inactive,2702,191643,262599324674,2702,5572,469787293,33.73
all,Other,never_spent,247475,254733,2804175305,247455,254693,2804134985,44.83
all,P2PK,active,35,139,1255862,35,139,1255862,0.02
all,P2PK,all,38117,47767,173472921760118,38131,47766,173472921760118,5.30
all,P2PK,inactive,306,9520,23752728475,317,9520,23752728475,1.06
all,P2PK,never_spent,37776,38108,173449167775781,37779,38107,173449167775781,4.23
all,P2PKH,active,496208,5446424,81927773514908,496285,5446424,81927773514908,1045.71
all,P2PKH,all,23373643,51328757,845418970930969,4576521,21246705,160079755052443,9855.12
all,P2PKH,inactive,4019166,15732506,78105289110235,4019201,15732506,78105289110235,3020.64
all,P2PKH,never_spent,18858269,30149827,685385908305826,61035,67775,46692427300,5788.77
all,P2SH,active,596602,3715335,132096782480260,597189,3715335,132096782480260,653.90
all,P2SH,all,8296065,15452358,505084354727745,1419385,6102246,169949991700162,2719.62
all,P2SH,inactive,821031,2386911,37853209219902,822196,2386911,37853209219902,420.10
all,P2SH,never_spent,6878432,9350112,335134363027583,0,0,0,1645.62
all,P2TR,active,291,1305,12695038579,291,1305,12695038579,0.13
all,P2TR,all,117746,122415,1186415179601,117746,122415,1186415179601,12.61
all,P2TR,inactive,1,2,25601,1,2,25601,0.00
all,P2TR,never_spent,117454,121108,1173720115421,117454,121108,1173720115421,12.47
all,P2WPKH,active,806245,2936773,40943143207890,806309,2936773,40943143207890,328.92
all,P2WPKH,all,10192162,15418968,314192487812826,1060423,3439429,48019796624763,1726.92
all,P2WPKH,inactive,251301,498746,7013034143531,251333,498746,7013034143531,55.86
all,P2WPKH,never_spent,9134616,11983449,266236310461405,2781,3910,63619273342,1342.15
all,P2WSH,active,13925,60561,37580961039816,14109,60561,37580961039816,9.02
all,P2WSH,all,644051,884065,72868662486581,18679,72927,40905287271532,131.73
all,P2WSH,inactive,4490,12366,3324326231716,4570,12366,3324326231716,1.84
all,P2WSH,never_spent,625636,811138,31963375215049,0,0,0,120.86
ge1,All,active,45670,4503382,287308761740351,46411,4503382,287308761740351,811.34
ge1,All,all,896052,9360574,1796645493866591,138346,6321107,580712886059358,1669.55
ge1,All,inactive,54679,1963265,119115314825301,55938,1777194,118853185287920,365.54
ge1,All,never_spent,795703,2893927,1390221417300939,35997,40531,174550939031087,492.67
ge1,Other,all,5,186081,262727551612,9,10,598014231,32.75
ge1,Other,inactive,2,186077,262331841971,2,6,202304590,32.75
ge1,Other,never_spent,3,4,395709641,7,4,395709641,0.00
ge1,P2PK,all,34755,34834,173458146184842,34769,34833,173458146184842,3.87
ge1,P2PK,inactive,9,9,23264000000,20,9,23264000000,0.00
ge1,P2PK,never_spent,34746,34825,173434882184842,34749,34824,173434882184842,3.87
ge1,P2PKH,active,11508,2907025,80738069102698,11585,2907025,80738069102698,558.15
ge1,P2PKH,all,297023,5850655,807227067576703,76680,4350327,153540098514142,1123.33
ge1,P2PKH,inactive,35539,1439523,72761046957486,35574,1439523,72761046957486,276.39
ge1,P2PKH,never_spent,249976,1504107,653727951516519,29521,3779,40982453958,288.79
ge1,P2SH,active,14814,1151130,130512750076559,15401,1151130,130512750076559,202.60
ge1,P2SH,all,277451,2184340,471875184531765,30822,1440612,166876931806669,384.44
ge1,P2SH,inactive,14256,289482,36364181730110,15421,289482,36364181730110,50.95
ge1,P2SH,never_spent,248381,743728,304998252725096,0,0,0,130.90
ge1,P2TR,active,23,251,10669296480,23,251,10669296480,0.03
ge1,P2TR,all,1191,1897,1028710571993,1191,1897,1028710571993,0.20
ge1,P2TR,never_spent,1168,1646,1018041275513,1168,1646,1018041275513,0.17
ge1,P2WPKH,active,17917,425216,38581784699371,17981,425216,38581784699371,47.62
ge1,P2WPKH,all,273577,1063249,271762703177509,22708,472126,45035001481106,119.08
ge1,P2WPKH,inactive,4641,46632,6396579374602,4673,46632,6396579374602,5.22
ge1,P2WPKH,never_spent,251019,591401,226784339103536,54,278,56637407133,66.24
ge1,P2WSH,active,1408,19760,37465488565243,1592,19760,37465488565243,2.94
ge1,P2WSH,all,12050,39518,71030954272167,1904,21302,40773399486375,5.89
ge1,P2WSH,inactive,232,1542,3307910921132,312,1542,3307910921132,0.23
ge1,P2WSH,never_spent,10410,18216,30257554785792,0,0,0,2.71
ge10,All,active,8197,2882735,276765198431933,8572,2882735,276765198431933,534.18
ge10,All,all,149919,4398937,1609022705029191,53663,3324126,557488408776546,805.98
ge10,All,inactive,10040,589161,106728996051505,10305,403090,106466866514124,107.44
ge10,All,never_spent,131682,927041,1225528510545753,34786,38301,174256343830489,164.36
ge10,Other,all,1,186071,262129537381,0,0,0,32.75
ge10,Other,inactive,1,186071,262129537381,0,0,0,32.75
ge10,P2PK,all,34665,34671,173433446625475,34666,34670,173433446625475,3.85
ge10,P2PK,inactive,7,7,22364000000,10,7,22364000000,0.00
ge10,P2PK,never_spent,34658,34664,173411082625475,34656,34663,173411082625475,3.85
ge10,P2PKH,active,2519,2168980,78055928137366,2552,2168980,78055928137366,416.44
ge10,P2PKH,all,50710,3022586,743994885675081,38149,2457628,142731751410802,580.34
ge10,P2PKH,inactive,6095,285198,64645855907861,6103,285198,64645855907861,54.76
ge10,P2PKH,never_spent,42096,568408,601293101629854,29494,3450,29967365575,109.13
ge10,P2SH,active,3121,585509,127111439210833,3413,585509,127111439210833,103.05
ge10,P2SH,all,36469,924853,409474736034397,7047,690361,160281734612883,162.77
ge10,P2SH,inactive,3387,104852,33170295402050,3634,104852,33170295402050,18.45
ge10,P2SH,never_spent,29961,234492,249193001421514,0,0,0,41.27
ge10,P2TR,active,4,28,5202692078,4,28,5202692078,0.00
ge10,P2TR,all,124,203,783287014047,124,203,783287014047,0.02
ge10,P2TR,never_spent,120,175,778084321969,120,175,778084321969,0.02
ge10,P2WPKH,active,2214,119517,34443799728184,2238,119517,34443799728184,13.39
ge10,P2WPKH,all,25458,218847,212629167258486,2738,132047,39852835532225,24.51
ge10,P2WPKH,inactive,492,12517,5371826286571,494,12517,5371826286571,1.40
ge10,P2WPKH,never_spent,22752,86813,172813541243731,6,13,37209517470,9.72
ge10,P2WSH,active,339,8701,37148828663472,437,8701,37148828663472,1.30
ge10,P2WSH,all,2492,11706,68445052884324,513,9217,40405353581114,1.74
ge10,P2WSH,inactive,58,516,3256524917642,76,516,3256524917642,0.08
ge10,P2WSH,never_spent,2095,2489,28039699303210,0,0,0,0.37
ge100,All,active,1492,2171602,258206021976891,1648,2171602,258206021976891,411.98
ge100,All,all,15946,2898003,1177694404908099,3017,2304735,344498498591053,544.78
