balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,1892059,12516277,273995542812863,1892059,12516277,273995542812863,2324.66
all,All,all,31670962,67325423,1849997337744711,5868811,27551528,582608015093778,12566.81
all,All,inactive,3689058,14917980,133598129578826,3689057,14732043,133336000041445,2838.48
all,All,never_spent,26089845,39891166,1442403665353022,287695,303208,175276472239470,7403.68
all,Other,active,323,346,2322000,323,346,2322000,0.06
all,Other,all,233375,429417,265275097918,233361,243467,3145553031,75.58
all,Other,inactive,2261,191055,262595934674,2260,5118,466397293,33.63
all,Other,never_spent,230791,238016,2676841244,230778,238003,2676833738,41.89
all,P2PK,active,183,18636,633157600,183,18636,633157600,2.07
all,P2PK,all,38503,64003,175237590120856,38503,64002,175232590120856,7.10
all,P2PK,inactive,167,6897,23762437300,167,6897,23762437300,0.77
all,P2PK,never_spent,38153,38470,175213194525956,38153,38469,175208194525956,4.27
all,P2PKH,active,1179319,9263326,79253473018165,1179319,9263326,79253473018165,1778.56
all,P2PKH,all,23736552,53831045,1007950776271591,4494372,22682571,188704591468148,10335.56
all,P2PKH,inactive,3297209,13393655,109429961474472,3297209,13393655,109429961474472,2571.58
all,P2PKH,never_spent,19260024,31174064,819267341778954,17844,25590,21156975511,5985.42
all,P2SH,active,578202,2832968,176327162523962,578202,2832968,176327162523962,498.60
all,P2SH,all,6027434,10741471,584817043061752,960947,4144353,199390074718352,1890.50
all,P2SH,inactive,382745,1311385,23062912194390,382745,1311385,23062912194390,230.80
all,P2SH,never_spent,5066487,6597118,385426968343400,0,0,0,1161.09
all,P2TR,all,2,2,6131,2,2,6131,0.00
all,P2TR,never_spent,2,2,6131,2,2,6131,0.00
all,P2WPKH,active,131310,388743,7057233234684,131310,388743,7057233234684,43.54
all,P2WPKH,all,1515592,2124173,63666900569172,138720,404252,7763447533109,237.91
all,P2WPKH,inactive,6492,14365,661770400291,6492,14365,661770400291,1.61
all,P2WPKH,never_spent,1377790,1721065,55947896934197,918,1144,44443898134,192.76
all,P2WSH,active,2722,12258,11357038556452,2722,12258,11357038556452,1.83
all,P2WSH,all,119504,135312,18059752617291,2906,12881,11514165694151,20.16
all,P2WSH,inactive,184,623,157127137699,184,623,157127137699,0.09
all,P2WSH,never_spent,116598,122431,6545586923140,0,0,0,18.24
ge1,All,active,49325,4212369,268527048566159,49325,4212369,268527048566159,785.41
ge1,All,all,809083,8449547,1755957549882675,132319,5845805,570612937575133,1562.68
ge1,All,inactive,47813,1781391,127095239962509,47812,1595454,126833110425128,335.57
ge1,All,never_spent,711945,2455787,1360335261354007,35182,37982,175252778583846,441.70
ge1,Other,all,5,185947,262727551612,4,10,598014231,32.73
ge1,Other,inactive,2,185943,262331841971,1,6,202304590,32.73
ge1,Other,never_spent,3,4,395709641,3,4,395709641,0.00
ge1,P2PK,active,1,4877,481847600,1,4877,481847600,0.54
ge1,P2PK,all,35122,40077,175221875967390,35122,40076,175216875967390,4.45
ge1,P2PK,inactive,9,9,23264000000,9,9,23264000000,0.00
ge1,P2PK,never_spent,35112,35191,175198130119790,35112,35190,175193130119790,3.91
ge1,P2PKH,active,19902,3212491,76929239252477,19902,3212491,76929239252477,616.80
ge1,P2PKH,all,390699,6126080,957882448044408,59380,4602191,180816219535351,1176.21
ge1,P2PKH,inactive,39453,1387011,103869569856601,39453,1387011,103869569856601,266.31
ge1,P2PKH,never_spent,331344,1526578,777083638935330,25,2689,17410426273,293.10
ge1,P2SH,active,24663,883848,173794225652343,24663,883848,173794225652343,155.56
ge1,P2SH,all,317310,1783759,550256603765338,32782,1089955,195945188778976,313.94
ge1,P2SH,inactive,8119,206107,22150963126633,8119,206107,22150963126633,36.27
ge1,P2SH,never_spent,284528,693804,354311414986362,0,0,0,122.11
ge1,P2WPKH,active,4513,109324,6462608403115,4513,109324,6462608403115,12.24
ge1,P2WPKH,all,62386,307599,54877200255119,4776,111687,7137056413122,34.45
ge1,P2WPKH,inactive,221,2264,632605681865,221,2264,632605681865,0.25
ge1,P2WPKH,never_spent,57652,196011,47781986170139,42,99,41842328142,21.95
ge1,P2WSH,active,246,1829,11340493410624,246,1829,11340493410624,0.27
ge1,P2WSH,all,3561,6085,17456694298808,255,1886,11496998866063,0.91
ge1,P2WSH,inactive,9,57,156505455439,9,57,156505455439,0.01
ge1,P2WSH,never_spent,3306,4199,5959695432745,0,0,0,0.63
ge10,All,active,11017,2761745,257744327234724,11017,2761745,257744327234724,522.13
ge10,All,all,153466,4079191,1586163182039212,54464,3234503,548907964890930,763.99
ge10,All,inactive,8420,621087,116214599786384,8419,435150,115952470249003,115.33
ge10,All,never_spent,134029,696359,1212204255018104,35028,37608,175211167407203,126.53
ge10,Other,all,1,185937,262129537381,0,0,0,32.72
ge10,Other,inactive,1,185937,262129537381,0,0,0,32.72
ge10,P2PK,all,35027,35033,175195328378864,35027,35032,175190328378864,3.89
ge10,P2PK,inactive,7,7,22364000000,7,7,22364000000,0.00
ge10,P2PK,never_spent,35020,35026,175172964378864,35020,35025,175167964378864,3.89
ge10,P2PKH,active,3977,2306267,72257839804044,3977,2306267,72257839804044,442.80
ge10,P2PKH,all,65895,3155342,873522214107451,10960,2688811,167166322687197,605.83
ge10,P2PKH,inactive,6979,379972,94897574975490,6979,379972,94897574975490,72.95
ge10,P2PKH,never_spent,54939,469103,706366799327917,4,2572,10907907663,90.07
ge10,P2SH,active,6432,441869,168785382663027,6432,441869,168785382663027,77.77
ge10,P2SH,all,44720,667971,479113949697015,7817,495998,189074678133867,117.56
ge10,P2SH,inactive,1385,54129,20289295470840,1385,54129,20289295470840,9.53
ge10,P2SH,never_spent,36903,171973,290039271563148,0,0,0,30.27
ge10,P2WPKH,active,553,12680,5420288179245,553,12680,5420288179245,1.42
ge10,P2WPKH,all,6860,32899,41281790599123,598,13681,6040059908928,3.68
ge10,P2WPKH,inactive,41,990,587476609007,41,990,587476609007,0.11
ge10,P2WPKH,never_spent,6266,19229,35274025810871,4,11,32295120676,2.15
ge10,P2WSH,active,55,929,11280816588408,55,929,11280816588408,0.14
ge10,P2WSH,all,963,2009,16787769719378,62,981,11436575782074,0.30
ge10,P2WSH,inactive,7,52,155759193666,7,52,155759193666,0.01
ge10,P2WSH,never_spent,901,1028,5351193937304,0,0,0,0.15
ge100,All,active,1767,1875901,234446879857173,1767,1875901,234446879857173,357.03
ge100,All,all,16115,2398054,1141337156533900,3091,2000654,331709450108982,453.47
ge100,All,inactive,1300,310660,96475085035119,1299,124723,96212955497738,56.50
ge100,All,never_spent,13048,211493,810415191641608,25,30,1049614754071,39.95
ge100,Other,all,1,185937,262129537381,0,0,0,32.72
ge100,Other,inactive,1,185937,262129537381,0,0,0,32.72
ge100,P2PK,all,24,26,1024621000000,24,26,1024621000000,0.00
ge100,P2PK,never_spent,24,26,1024621000000,24,26,1024621000000,0.00
ge100,P2PKH,active,724,1689050,62928802797920,724,1689050,62928802797920,324.30
ge100,P2PKH,all,10219,1980955,723777353755981,1846,1803093,141529429790676,380.34
ge100,P2PKH,inactive,1122,114043,78600626992756,1122,114043,78600626992756,21.90
ge100,P2PKH,never_spent,8373,177862,582247923965305,0,0,0,34.15
ge100,P2SH,active,934,184274,156146018445276,934,184274,156146018445276,32.43
ge100,P2SH,all,5218,226554,375892951081625,1104,194883,173107780705133,39.87
ge100,P2SH,inactive,170,10609,16961762259857,170,10609,16961762259857,1.87
ge100,P2SH,never_spent,4114,31671,202785170376492,0,0,0,5.57
ge100,P2WPKH,active,80,2286,4163009396749,80,2286,4163009396749,0.26
ge100,P2WPKH,all,539,4151,25354813869703,85,2313,4693341284853,0.46
ge100,P2WPKH,inactive,4,23,505338134033,4,23,505338134033,0.00
ge100,P2WPKH,never_spent,455,1842,20686466338921,1,4,24993754071,0.21
ge100,P2WSH,active,29,291,11209049217228,29,291,11209049217228,0.04
ge100,P2WSH,all,114,431,15025287289210,32,339,11354277328320,0.06
ge100,P2WSH,inactive,3,48,145228111092,3,48,145228111092,0.01
ge100,P2WSH,never_spent,82,92,3671009960890,0,0,0,0.01
ge1000,All,active,362,137824,193873791725323,362,137824,193873791725323,25.40
ge1000,All,all,2187,508505,790110701150071,572,191541,262034102552675,93.34
ge1000,All,inactive,210,239653,68099123364733,209,53716,67836993827352,43.01
ge1000,All,never_spent,1615,131028,528137786060015,1,1,323317000000,24.93
ge1000,Other,all,1,185937,262129537381,0,0,0,32.72
ge1000,Other,inactive,1,185937,262129537381,0,0,0,32.72
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,123,74483,45602530226541,123,74483,45602530226541,14.30
ge1000,P2PKH,all,1538,245123,508149989204438,304,126548,99694585802875,47.06
ge1000,P2PKH,inactive,181,52065,54092055576334,181,52065,54092055576334,10.00
ge1000,P2PKH,never_spent,1234,118575,408455403401563,0,0,0,22.77
ge1000,P2SH,active,214,62447,135219991958015,214,62447,135219991958015,10.99
ge1000,P2SH,all,590,76093,255740348512192,240,64049,148463249214234,13.39
ge1000,P2SH,inactive,26,1602,13243257256219,26,1602,13243257256219,0.28
ge1000,P2SH,never_spent,350,12044,107277099297958,0,0,0,2.12
ge1000,P2WPKH,active,8,736,2120679955084,8,736,2120679955084,0.08
ge1000,P2WPKH,all,35,1144,13249035003681,9,742,2506432838791,0.13
ge1000,P2WPKH,inactive,1,6,385752883707,1,6,385752883707,0.00
ge1000,P2WPKH,never_spent,26,402,10742602164890,0,0,0,0.05
ge1000,P2WSH,active,17,158,10930589585683,17,158,10930589585683,0.02
ge1000,P2WSH,all,22,207,12385881892379,18,201,11046517696775,0.03
ge1000,P2WSH,inactive,1,43,115928111092,1,43,115928111092,0.01
ge1000,P2WSH,never_spent,4,6,1339364195604,0,0,0,0.00
