snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
100000,ge1,P2PK,never_spent,52325,52328,264132800277713,52324,52327,264127800277713,5.81
100000,ge1,P2PKH,active,560,3552,73318688119940,560,3552,73318688119940,0.68
100000,ge1,P2PKH,all,4754,10581,235689603478847,563,3557,73915688119940,2.03
100000,ge1,P2PKH,inactive,3,5,597000000000,3,5,597000000000,0.00
100000,ge1,P2PKH,never_spent,4191,7024,161773915358907,0,0,0,1.35
100000,ge10,All,active,403,3029,73294371908637,403,3029,73294371908637,0.58
100000,ge10,All,all,54846,59042,498943659344051,52694,55325,338050124186350,7.10
100000,ge10,All,inactive,17,19,646678000000,17,19,646678000000,0.00
100000,ge10,All,never_spent,54426,55994,425002609435414,52274,52277,264109074277713,6.52
100000,ge10,P2PK,active,5,5,19528000000,5,5,19528000000,0.00
100000,ge10,P2PK,all,52294,52297,264183280277713,52293,52296,264178280277713,5.80
100000,ge10,P2PK,inactive,14,14,49678000000,14,14,49678000000,0.00
100000,ge10,P2PK,never_spent,52275,52278,264114074277713,52274,52277,264109074277713,5.80
100000,ge10,P2PKH,active,398,3024,73274843908637,398,3024,73274843908637,0.58
100000,ge10,P2PKH,all,2552,6745,234760379066338,401,3029,73871843908637,1.30
100000,ge10,P2PKH,inactive,3,5,597000000000,3,5,597000000000,0.00
100000,ge10,P2PKH,never_spent,2151,3716,160888535157701,0,0,0,0.71
100000,ge100,All,active,243,2291,72742507905959,243,2291,72742507905959,0.44
100000,ge100,All,all,1351,4467,233024760905959,390,2443,76870211905959,0.85
100000,ge100,All,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge100,All,never_spent,1107,2173,159692253000000,146,149,3537704000000,0.41
100000,ge100,P2PK,all,146,149,3537704000000,146,149,3537704000000,0.02
100000,ge100,P2PK,never_spent,146,149,3537704000000,146,149,3537704000000,0.02
100000,ge100,P2PKH,active,243,2291,72742507905959,243,2291,72742507905959,0.44
100000,ge100,P2PKH,all,1205,4318,229487056905959,244,2294,73332507905959,0.83
100000,ge100,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge100,P2PKH,never_spent,961,2024,156154549000000,0,0,0,0.39
100000,ge1000,All,active,100,1400,68447054905919,100,1400,68447054905919,0.27
100000,ge1000,All,all,351,2089,206111432905919,104,1406,69710271905919,0.40
100000,ge1000,All,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge1000,All,never_spent,250,686,137074378000000,3,3,673217000000,0.13
100000,ge1000,P2PK,all,3,3,673217000000,3,3,673217000000,0.00
100000,ge1000,P2PK,never_spent,3,3,673217000000,3,3,673217000000,0.00
100000,ge1000,P2PKH,active,100,1400,68447054905919,100,1400,68447054905919,0.27
100000,ge1000,P2PKH,all,348,2086,205438215905919,101,1403,69037054905919,0.40
100000,ge1000,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
100000,ge1000,P2PKH,never_spent,247,683,136401161000000,0,0,0,0.13
150000,all,All,active,26080,303686,88481273877473,26079,303678,88480971671559,58.31
150000,all,All,all,540951,1126699,750004998999999,69856,347997,314569411568313,212.79
150000,all,All,inactive,210,709,7807223331149,210,709,7807223331149,0.13
150000,all,All,never_spent,514661,822304,653716501791377,43567,43610,218281216565605,154.35
150000,all,Other,active,1,8,302205914,0,0,0,0.00
150000,all,Other,all,1,8,302205914,0,0,0,0.00
150000,all,P2PK,active,16,19,83636950000,16,19,83636950000,0.00
150000,all,P2PK,all,43587,43616,218404785031375,43586,43615,218399785031375,4.84
150000,all,P2PK,inactive,14,14,38954000000,14,14,38954000000,0.00
150000,all,P2PK,never_spent,43557,43583,218282194081375,43556,43582,218277194081375,4.84
150000,all,P2PKH,active,26063,303659,88397334721559,26063,303659,88397334721559,58.30
150000,all,P2PKH,all,497363,1083075,531599911762710,26270,304382,96169626536938,207.95
150000,all,P2PKH,inactive,196,695,7768269331149,196,695,7768269331149,0.13
150000,all,P2PKH,never_spent,471104,778721,435434307710002,11,28,4022484230,149.51
150000,ge1,All,active,15081,202858,88246683596444,15080,202850,88246381390530,38.95
150000,ge1,All,all,108350,525008,748494392728518,58630,246878,314331692921740,97.28
150000,ge1,All,inactive,105,558,7805768131149,105,558,7805768131149,0.11
150000,ge1,All,never_spent,93164,321592,652441941000925,43445,43470,218279543400061,58.22
150000,ge1,Other,active,1,8,302205914,0,0,0,0.00
150000,ge1,Other,all,1,8,302205914,0,0,0,0.00
150000,ge1,P2PK,active,16,19,83636950000,16,19,83636950000,0.00
150000,ge1,P2PK,all,43474,43502,218403233350061,43473,43501,218398233350061,4.83
150000,ge1,P2PK,inactive,13,13,38953000000,13,13,38953000000,0.00
150000,ge1,P2PK,never_spent,43445,43470,218280643400061,43444,43469,218275643400061,4.83
150000,ge1,P2PKH,active,15064,202831,88162744440530,15064,202831,88162744440530,38.94
150000,ge1,P2PKH,all,64875,481498,530090857172543,15157,203377,95933459571679,92.45
150000,ge1,P2PKH,inactive,92,545,7766815131149,92,545,7766815131149,0.10
150000,ge1,P2PKH,never_spent,49719,278122,434161297600864,1,1,3900000000,53.40
150000,ge10,All,active,6488,136466,84995426163525,6488,136466,84995426163525,26.20
150000,ge10,All,all,68347,316441,734979341800891,49962,180250,311055111715568,57.24
150000,ge10,All,inactive,68,364,7793703026060,68,364,7793703026060,0.07
150000,ge10,All,never_spent,61791,179611,642190212611306,43406,43420,218265982525983,30.97
150000,ge10,P2PK,active,15,18,83373950000,15,18,83373950000,0.00
150000,ge10,P2PK,all,43432,43449,218388509475983,43431,43448,218383509475983,4.82
