balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,3393265,69775487,297985324100240,3395729,69578182,297722563609391,8131.32
all,All,all,55039039,169854879,1987488209075094,14775765,111331235,636074804296807,23402.09
all,All,inactive,6649279,33383625,154962170162736,6651657,33383625,154962170162736,5017.43
all,All,never_spent,44996495,66695767,1534540714812118,4728379,8369428,183390070524680,10253.34
all,Other,active,11,197315,262760580849,10,10,90000,34.73
all,Other,all,2043808,2255356,268637608378,2042953,2057079,5876122281,396.94
all,Other,inactive,2927,5798,471802293,2928,5798,471802293,1.02
all,Other,never_spent,2040870,2052243,5405225236,2040015,2051271,5404229988,361.19
all,P2PK,active,6,33,6176031,6,33,6176031,0.00
all,P2PK,all,37760,45246,171962057135395,37774,45245,171962057135395,5.02
all,P2PK,inactive,329,7454,23719233813,338,7454,23719233813,0.83
all,P2PK,never_spent,37425,37759,171938331725551,37430,37758,171938331725551,4.19
all,P2PKH,active,503291,5734854,43374579228469,503429,5734854,43374579228469,1101.09
all,P2PKH,all,21859463,47739298,628390312508450,4270990,20306373,123324688222472,9165.95
all,P2PKH,inactive,3705227,14448748,79807328366017,3705275,14448748,79807328366017,2774.16
all,P2PKH,never_spent,17650945,27555696,505208404913964,62286,122771,142780627986,5290.69
all,P2SH,active,403069,3479116,82885962272073,404667,3479116,82885962272073,612.32
all,P2SH,all,6657597,13567326,413905928269788,1265718,6702943,135121973451257,2387.85
all,P2SH,inactive,859126,3223827,52236011179184,861051,3223827,52236011179184,567.39
all,P2SH,never_spent,5395402,6864383,278783954818531,0,0,0,1208.13
all,P2TR,active,1056159,42997264,3816393078782,1056159,42997264,3816393078782,4428.72
all,P2TR,all,4249375,58783125,15324371049754,4249375,58783125,15324371049754,6054.66
all,P2TR,inactive,581476,9638633,247606410237,581476,9638633,247606410237,992.78
all,P2TR,never_spent,2611740,6147228,11260371560735,2611740,6147228,11260371560735,633.16
all,P2WPKH,active,1384260,17113779,109226924385611,1384347,17113779,109226924385611,1916.74
all,P2WPKH,all,19196246,45420116,640533602948888,2867479,23112498,130066799972515,5087.05
all,P2WPKH,inactive,1476977,5988319,20796693206484,1477025,5988319,20796693206484,670.69
all,P2WPKH,never_spent,16335009,22318018,510509985356793,6107,10400,43182380420,2499.62
all,P2WSH,active,46469,253126,58418698378425,47379,253126,58418698378425,37.72
all,P2WSH,all,994790,2044412,117103299554441,71048,323972,60269038343133,304.62
all,P2WSH,inactive,23217,70846,1850339964708,23669,70846,1850339964708,10.56
all,P2WSH,never_spent,925104,1720440,56834261211308,0,0,0,256.35
ge1,All,active,44072,5996783,292902115925636,46536,5799478,292639355434787,879.22
ge1,All,all,988749,11632985,1848614231350182,152167,8424586,621367536216471,1804.07
ge1,All,inactive,60458,2449426,146773327214139,62836,2449426,146773327214139,430.26
ge1,All,never_spent,884219,3186776,1408938788210407,42795,175682,181954853567545,494.59
ge1,Other,active,1,197305,262760490849,0,0,0,34.73
ge1,Other,all,5,197315,263358505080,9,10,598014231,34.73
ge1,Other,inactive,1,6,202304590,2,6,202304590,0.00
ge1,Other,never_spent,3,4,395709641,7,4,395709641,0.00
ge1,P2PK,all,34395,34480,171947453937615,34409,34479,171947453937615,3.83
ge1,P2PK,inactive,9,9,23264000000,18,9,23264000000,0.00
ge1,P2PK,never_spent,34386,34471,171924189937615,34391,34470,171924189937615,3.83
ge1,P2PKH,active,7485,2018624,42635571450660,7623,2018624,42635571450660,387.58
ge1,P2PKH,all,244378,5040815,596064125322568,68560,3758211,117789253428490,967.84
ge1,P2PKH,inactive,31660,1683988,75017937542162,31708,1683988,75017937542162,323.33
ge1,P2PKH,never_spent,205233,1338203,478410616329746,29229,55599,135744435668,256.93
ge1,P2SH,active,8335,569727,82173140725611,9933,569727,82173140725611,100.27
ge1,P2SH,all,219124,1378278,387250974877410,23310,908848,133286377786061,242.58
ge1,P2SH,inactive,11452,339121,51113237060450,13377,339121,51113237060450,59.69
ge1,P2SH,never_spent,199337,469430,253964597091349,0,0,0,82.62
ge1,P2TR,active,877,534013,3592641253132,877,534013,3592641253132,55.00
ge1,P2TR,all,9332,691851,13605705642003,9332,691851,13605705642003,71.26
ge1,P2TR,inactive,153,72478,151564629173,153,72478,151564629173,7.47
ge1,P2TR,never_spent,8302,85360,9861499759698,8302,85360,9861499759698,8.79
ge1,P2WPKH,active,26702,2628318,105891740425069,26789,2628318,105891740425069,294.37
ge1,P2WPKH,all,458290,4200249,564893697992599,43828,2978287,124563662103715,470.43
ge1,P2WPKH,inactive,16926,349720,18638897953723,16974,349720,18638897953723,39.17
ge1,P2WPKH,never_spent,414662,1222211,440363059613807,65,249,33023724923,136.89
ge1,P2WSH,active,672,48796,58346261580315,1582,48796,58346261580315,7.27
ge1,P2WSH,all,23225,89997,114588915072907,2291,52900,60174485304356,13.41
ge1,P2WSH,inactive,257,4104,1828223724041,709,4104,1828223724041,0.61
ge1,P2WSH,never_spent,22296,37097,54414429768551,0,0,0,5.53
ge10,All,active,7976,2739643,283133451443295,9281,2542338,282870690952446,472.57
ge10,All,all,151776,4231467,1641076089784405,53962,3177298,595879926881557,734.27
ge10,All,inactive,8738,540363,132967910368519,9274,540363,132967910368519,96.18
ge10,All,never_spent,135062,951461,1224974727972591,35407,94597,180041325560592,165.52
ge10,Other,active,1,197305,262760490849,0,0,0,34.73
ge10,Other,all,1,197305,262760490849,0,0,0,34.73
ge10,P2PK,all,34310,34323,171923828224921,34311,34322,171923828224921,3.81
ge10,P2PK,inactive,7,7,22364000000,9,7,22364000000,0.00
