balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,3661146,95826161,268879437877125,3662413,95629035,268616677387053,11491.54
all,All,all,54155582,185679475,1971863361695015,12811271,123958013,614662462919357,26040.73
all,All,inactive,5848147,22249674,167786367209995,5850077,22249674,167786367209995,3908.19
all,All,never_spent,44646289,67603640,1535197556607895,3298781,6079304,178259418322309,10640.99
all,Other,active,62,197187,262761031072,61,61,541000,34.70
all,Other,all,1377747,1586078,268118105542,1377699,1388854,5357107258,279.15
all,Other,inactive,2872,5743,471315293,2873,5743,471315293,1.01
all,Other,never_spent,1374813,1383148,4885759177,1374765,1383050,4885250965,243.43
all,P2PK,active,6,22,273383,6,22,273383,0.00
all,P2PK,all,37891,45357,172417511194012,37905,45356,172417511194012,5.03
all,P2PK,inactive,327,7442,23719060410,338,7442,23719060410,0.83
all,P2PK,never_spent,37558,37893,172393791860219,37561,37892,172393791860219,4.21
all,P2PKH,active,543114,7336348,56847644816861,543212,7336348,56847644816861,1408.58
all,P2PKH,all,23059200,52996688,731388380788441,4486523,23043392,146253727283221,10175.36
all,P2PKH,inactive,3881316,15605892,89227935200315,3881356,15605892,89227935200315,2996.33
all,P2PKH,never_spent,18634770,30054448,585312800771265,61955,101152,178147266045,5770.45
all,P2SH,active,761751,8562498,75962260987800,762647,8562498,75962260987800,1507.00
all,P2SH,all,8475687,20220560,418322147999118,1599600,11292797,132740685412660,3558.82
all,P2SH,inactive,835279,2730299,56778424424860,836953,2730299,56778424424860,480.53
all,P2SH,never_spent,6878657,8927763,285581462586458,0,0,0,1571.29
all,P2TR,active,998930,44396878,1332459689206,998930,44396878,1332459689206,4572.88
all,P2TR,all,2950778,49874950,7001588973007,2950778,49874950,7001588973007,5137.12
all,P2TR,inactive,103125,929375,51606033552,103125,929375,51606033552,95.73
all,P2TR,never_spent,1848723,4548697,5617523250249,1848723,4548697,5617523250249,468.52
all,P2WPKH,active,1321158,35034356,74747505886289,1321234,35034356,74747505886289,3923.85
all,P2WPKH,all,17292134,59383177,530428023997364,2341138,37986170,93410916693452,6650.92
all,P2WPKH,inactive,1014757,2943301,18598340112332,1014816,2943301,18598340112332,329.65
all,P2WPKH,never_spent,14956219,21405520,437082177998743,5088,8513,65070694831,2397.42
all,P2WSH,active,36125,298872,59726805192514,36543,298872,59726805192514,44.53
all,P2WSH,all,962145,1572665,112037590637531,47267,326494,62832676255747,234.33
all,P2WSH,inactive,10471,27622,3105871063233,10724,27622,3105871063233,4.12
all,P2WSH,never_spent,915549,1246171,49204914381784,0,0,0,185.68
ge1,All,active,45180,13815690,262303923812930,46447,13618564,262041163322858,1859.97
ge1,All,all,1010339,19871788,1830314326716268,150526,16360623,599076332176973,2851.36
ge1,All,inactive,61794,2439983,159738258110126,63724,2439983,159738258110126,440.23
ge1,All,never_spent,903365,3616115,1408272144793212,40355,302076,177296910743989,551.16
ge1,Other,active,1,197126,262760490072,0,0,0,34.69
