balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
ge10,P2TR,active,233,11017,4841093337322,233,11017,4841093337322,1.13
ge10,P2TR,all,1676,16440,15814383425150,1676,16440,15814383425150,1.69
ge10,P2TR,inactive,50,355,329951263124,50,355,329951263124,0.04
ge10,P2TR,never_spent,1393,5068,10643338824704,1393,5068,10643338824704,0.52
ge10,P2WPKH,active,4763,667964,154145329531858,4801,667964,154145329531858,74.81
ge10,P2WPKH,all,47678,933658,632297187068931,6905,754016,170683436521791,104.57
ge10,P2WPKH,inactive,2090,86040,16528767431683,2101,86040,16528767431683,9.64
ge10,P2WPKH,never_spent,40825,179654,461623090105390,3,12,9339558250,20.12
ge10,P2WSH,active,393,43486,63115814436911,1457,43486,63115814436911,6.48
ge10,P2WSH,all,5436,60430,125714967596638,1771,46678,66263540552523,9.00
ge10,P2WSH,inactive,90,3192,3147726115612,314,3192,3147726115612,0.48
ge10,P2WSH,never_spent,4953,13752,59451427044115,0,0,0,2.05
ge100,All,active,2719,318271,309617193234427,3607,318271,309617193234427,52.55
ge100,All,all,20203,1206130,1234421521293480,5420,499233,439689840408203,215.14
ge100,All,inactive,1312,180475,121519816936396,1662,180475,121519816936396,32.86
ge100,All,never_spent,16172,707384,803284511122657,151,487,8552830237380,129.73
ge100,Other,all,1,197317,262760501059,0,0,0,34.73
ge100,Other,never_spent,1,197317,262760501059,0,0,0,34.73
ge100,P2PK,all,24,26,1024621000000,24,26,1024621000000,0.00
ge100,P2PK,never_spent,24,26,1024621000000,24,26,1024621000000,0.00
ge100,P2PKH,active,302,143687,33987087229790,330,143687,33987087229790,27.59
ge100,P2PKH,all,5162,739255,300200272106681,1098,282327,89677203920739,141.94
ge100,P2PKH,inactive,741,138640,55690116690949,744,138640,55690116690949,26.62
ge100,P2PKH,never_spent,4119,456928,210523068185942,24,0,0,87.73
ge100,P2SH,active,337,76435,62863850482328,732,76435,62863850482328,13.45
ge100,P2SH,all,4114,118140,273205630675955,1275,99764,113614471119286,20.79
ge100,P2SH,inactive,291,23329,50750620636958,543,23329,50750620636958,4.11
ge100,P2SH,never_spent,3486,18376,159591159556669,0,0,0,3.23
ge100,P2TR,active,44,864,4327418390611,44,864,4327418390611,0.09
ge100,P2TR,all,182,1383,12093948374738,182,1383,12093948374738,0.14
ge100,P2TR,inactive,11,58,238320746747,11,58,238320746747,0.01
ge100,P2TR,never_spent,127,461,7528209237380,127,461,7528209237380,0.05
ge100,P2WPKH,active,1860,83036,146011141313847,1879,83036,146011141313847,9.30
ge100,P2WPKH,all,9425,130012,535639146120083,2109,99792,157879406235779,14.56
ge100,P2WPKH,inactive,229,16756,11868264921932,230,16756,11868264921932,1.88
ge100,P2WPKH,never_spent,7336,30220,377759739884304,0,0,0,3.38
ge100,P2WSH,active,176,14249,62427695817851,675,14249,62427695817851,2.12
ge100,P2WSH,all,1295,19997,111995142514964,813,15941,65400189757661,2.98
ge100,P2WSH,inactive,40,1692,2972493939810,138,1692,2972493939810,0.25
ge100,P2WSH,never_spent,1079,4056,46594952757303,0,0,0,0.60
ge1000,All,active,363,89371,233542993971732,666,89371,233542993971732,13.67
ge1000,All,all,2020,423962,712201931072278,1114,191281,330966359149406,73.67
ge1000,All,inactive,250,101793,92102688808674,433,101793,92102688808674,19.04
ge1000,All,never_spent,1407,232798,386556248291872,15,117,5320676369000,40.96
ge1000,Other,all,1,197317,262760501059,0,0,0,34.73
ge1000,Other,never_spent,1,197317,262760501059,0,0,0,34.73
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,47,31020,27251060413438,55,31020,27251060413438,5.96
ge1000,P2PKH,all,612,147012,185677515155684,194,121746,66353555315034,28.23
ge1000,P2PKH,inactive,138,90726,39102494901596,138,90726,39102494901596,17.42
ge1000,P2PKH,never_spent,427,25266,119323959840650,1,0,0,4.85
ge1000,P2SH,active,80,14196,55156502845505,237,14196,55156502845505,2.50
ge1000,P2SH,all,400,23710,158687027651575,490,20206,100273403019494,4.17
ge1000,P2SH,inactive,87,6010,45116900173989,253,6010,45116900173989,1.06
ge1000,P2SH,never_spent,233,3504,58413624632081,0,0,0,0.62
ge1000,P2TR,active,13,355,3651403077253,13,355,3651403077253,0.04
ge1000,P2TR,all,27,471,8648762446253,27,471,8648762446253,0.05
ge1000,P2TR,never_spent,14,116,4997359369000,14,116,4997359369000,0.01
ge1000,P2WPKH,active,172,36375,89656252164573,175,36375,89656252164573,4.07
ge1000,P2WPKH,all,832,47692,283124595350048,193,41403,95722906283724,5.34
ge1000,P2WPKH,inactive,18,5028,6066654119151,18,5028,6066654119151,0.56
ge1000,P2WPKH,never_spent,642,6289,187401689066324,0,0,0,0.70
ge1000,P2WSH,active,51,7425,57827775470963,199,7425,57827775470963,1.11
ge1000,P2WSH,all,147,7759,75477952967659,223,7454,59644415084901,1.16
ge1000,P2WSH,inactive,7,29,1816639613938,24,29,1816639613938,0.00
ge1000,P2WSH,never_spent,89,305,15833537882758,0,0,0,0.05
