balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,1954656,15171708,285511381926767,1954891,15171708,285511381926767,2863.53
all,All,all,27617506,63387918,1799992982193302,5186221,27215484,588148528535412,11958.30
all,All,inactive,2959381,11947567,127279827962440,2960033,11761630,127017698425059,2277.70
all,All,never_spent,22703469,36268643,1387201772304095,271297,282146,175619448183586,6817.07
all,Other,active,1073,3249,5013988,1073,3249,5013988,0.57
all,Other,all,232167,429337,265272453594,232171,243400,3142916213,75.56
all,Other,inactive,1365,189130,262592913783,1365,3193,463376402,33.29
all,Other,never_spent,229729,236958,2674525823,229733,236958,2674525823,41.70
all,P2PK,active,98,17818,324519498,98,17818,324519498,1.98
all,P2PK,all,38463,61212,175592121512804,38479,61211,175592121512804,6.79
all,P2PK,inactive,145,4897,23727571445,155,4897,23727571445,0.54
all,P2PK,never_spent,38220,38497,175568069421861,38226,38496,175568069421861,4.27
all,P2PKH,active,1406159,12381139,89870801131438,1406161,12381139,89870801131438,2377.18
all,P2PKH,all,21441538,52847133,1014877518000863,4125100,23342939,199593347300936,10146.65
all,P2PKH,inactive,2714218,10955843,109700403386513,2714224,10955843,109700403386513,2103.52
all,P2PKH,never_spent,17321161,29510151,815306313482912,4715,5957,22142782985,5665.95
all,P2SH,active,523138,2707196,192772834574462,523353,2707196,192772834574462,476.47
all,P2SH,all,5357472,9389837,572222544343888,767249,3504135,209956069751200,1652.61
all,P2SH,inactive,243248,796939,17183235176738,243896,796939,17183235176738,140.26
all,P2SH,never_spent,4591086,5885702,362266474592688,0,0,0,1035.88
all,P2WPKH,active,19278,52768,2066789940013,19284,52768,2066789940013,5.91
all,P2WPKH,all,481357,587094,34325539706268,20228,54102,2195826510762,65.75
all,P2WPKH,inactive,340,599,102475117832,340,599,102475117832,0.07
all,P2WPKH,never_spent,461739,533727,32156274648423,604,735,26561452917,59.78
all,P2WSH,active,4910,9538,800626747368,4928,9538,800626747368,1.42
all,P2WSH,all,66509,73305,2709986175885,4993,9697,808020543497,10.92
all,P2WSH,inactive,65,159,7393796129,65,159,7393796129,0.02
all,P2WSH,never_spent,61534,63608,1901965632388,0,0,0,9.48
ge1,All,active,69284,5246423,278759966467752,69519,5246423,278759966467752,992.29
ge1,All,all,787655,8982990,1716251205072165,150002,6590443,575260829743305,1689.37
ge1,All,inactive,44606,1492734,121166025367880,45258,1306797,120903895830499,281.66
ge1,All,never_spent,673765,2243833,1316325213236533,35225,37223,175596967445054,415.42
ge1,Other,all,5,185947,262727551612,9,10,598014231,32.73
ge1,Other,inactive,2,185943,262331841971,2,6,202304590,32.73
ge1,Other,never_spent,3,4,395709641,7,4,395709641,0.00
ge1,P2PK,active,1,1507,148891600,1,1507,148891600,0.17
ge1,P2PK,all,35194,36778,175576370444850,35210,36777,175576370444850,4.08
ge1,P2PK,inactive,9,9,23264000000,19,9,23264000000,0.00
ge1,P2PK,never_spent,35184,35262,175552957553250,35190,35261,175552957553250,3.91
ge1,P2PKH,active,41213,4345757,85879050737785,41215,4345757,85879050737785,834.39
ge1,P2PKH,all,436759,7115062,963510755341215,82139,5531672,190237230066668,1366.09
ge1,P2PKH,inactive,38925,1183985,104339369452521,38931,1183985,104339369452521,227.33
ge1,P2PKH,never_spent,356621,1585320,773292335150909,1993,1930,18809876362,304.38
ge1,P2SH,active,26942,889964,190133790482865,27157,889964,190133790482865,156.63
ge1,P2SH,all,287772,1594613,542708729578600,33440,1012640,206566512960396,280.65
ge1,P2SH,inactive,5635,122676,16432722477531,6283,122676,16432722477531,21.59
ge1,P2SH,never_spent,255195,581973,336142216618204,0,0,0,102.43
ge1,P2WPKH,active,997,7091,1951901952872,1003,7091,1951901952872,0.79
ge1,P2WPKH,all,26250,46442,31679468274591,1050,7185,2077779868971,5.20
ge1,P2WPKH,inactive,31,66,101073610298,31,66,101073610298,0.01
ge1,P2WPKH,never_spent,25222,39285,29626492711421,16,28,24804305801,4.40
ge1,P2WSH,active,131,2104,795074402630,149,2104,795074402630,0.31
ge1,P2WSH,all,1675,4148,2513153881297,153,2159,802338388189,0.62
ge1,P2WSH,inactive,4,55,7263985559,4,55,7263985559,0.01
ge1,P2WSH,never_spent,1540,1989,1710815493108,0,0,0,0.30
ge10,All,active,10964,2633138,261681722144913,11070,2633138,261681722144913,497.95
ge10,All,all,153204,3801434,1546844835875655,53968,3025947,548008394214683,713.24
