balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,43,90,5695485000000,43,90,5695485000000,0.02
all,All,all,41279,41532,250000000000000,41178,41227,215325722000000,4.64
all,All,inactive,8,8,18190000000,8,8,18190000000,0.00
all,All,never_spent,41228,41434,244286325000000,41127,41129,209612047000000,4.62
all,P2PK,active,17,17,57425000000,18,17,57425000000,0.00
all,P2PK,all,41153,41154,209687661000000,41152,41153,209687661000000,4.57
all,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
all,P2PK,never_spent,41129,41130,209612047000000,41127,41129,209612047000000,4.57
all,P2PKH,active,26,73,5638060000000,26,73,5638060000000,0.01
all,P2PKH,all,126,378,40312339000000,28,74,5638061000000,0.07
all,P2PKH,inactive,1,1,1000000,2,1,1000000,0.00
all,P2PKH,never_spent,99,304,34674278000000,0,0,0,0.06
ge1,All,active,42,89,5695482000000,42,89,5695482000000,0.02
ge1,All,all,41254,41507,249999538000000,41160,41209,215325559000000,4.64
ge1,All,inactive,7,7,18189000000,7,7,18189000000,0.00
ge1,All,never_spent,41205,41411,244285867000000,41111,41113,209611888000000,4.62
ge1,P2PK,active,17,17,57425000000,18,17,57425000000,0.00
ge1,P2PK,all,41137,41138,209687502000000,41136,41137,209687502000000,4.57
ge1,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
ge1,P2PK,never_spent,41113,41114,209611888000000,41111,41113,209611888000000,4.56
ge1,P2PKH,active,25,72,5638057000000,25,72,5638057000000,0.01
ge1,P2PKH,all,117,369,40312036000000,26,72,5638057000000,0.07
ge1,P2PKH,never_spent,92,297,34673979000000,0,0,0,0.06
ge10,All,active,36,82,5693963000000,36,82,5693963000000,0.01
ge10,All,all,41223,41472,249992357000000,41145,41193,215322248000000,4.63
ge10,All,inactive,6,6,18089000000,6,6,18089000000,0.00
ge10,All,never_spent,41181,41384,244280305000000,41103,41105,209610196000000,4.62
ge10,P2PK,active,14,14,56207000000,15,14,56207000000,0.00
ge10,P2PK,all,41125,41126,209684492000000,41124,41125,209684492000000,4.56
ge10,P2PK,inactive,6,6,18089000000,6,6,18089000000,0.00
ge10,P2PK,never_spent,41105,41106,209610196000000,41103,41105,209610196000000,4.56
ge10,P2PKH,active,22,68,5637756000000,22,68,5637756000000,0.01
ge10,P2PKH,all,98,346,40307865000000,23,68,5637756000000,0.07
ge10,P2PKH,never_spent,76,278,34670109000000,0,0,0,0.05
ge100,All,active,18,64,5627256000000,18,64,5627256000000,0.01
ge100,All,all,110,357,44520701000000,54,100,9925457000000,0.07
ge100,All,never_spent,92,293,38893445000000,36,36,4298201000000,0.05
ge100,P2PK,all,36,36,4298201000000,36,36,4298201000000,0.00
ge100,P2PK,never_spent,36,36,4298201000000,36,36,4298201000000,0.00
ge100,P2PKH,active,18,64,5627256000000,18,64,5627256000000,0.01
ge100,P2PKH,all,74,321,40222500000000,18,64,5627256000000,0.06
ge100,P2PKH,never_spent,56,257,34595244000000,0,0,0,0.05
ge1000,All,active,10,49,5286548000000,10,49,5286548000000,0.01
ge1000,All,all,45,263,42424319000000,19,58,8812045000000,0.05
ge1000,All,never_spent,35,214,37137771000000,9,9,3525497000000,0.04
ge1000,P2PK,all,9,9,3525497000000,9,9,3525497000000,0.00
ge1000,P2PK,never_spent,9,9,3525497000000,9,9,3525497000000,0.00
ge1000,P2PKH,active,10,49,5286548000000,10,49,5286548000000,0.01
ge1000,P2PKH,all,36,254,38898822000000,10,49,5286548000000,0.05
ge1000,P2PKH,never_spent,26,205,33612274000000,0,0,0,0.04
