balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,164293,666877,199433931029271,164293,665830,199172631188800,262.08
all,All,all,879762,2317527,999998998361183,218150,898179,444033119737061,352.54
all,All,inactive,12297,189876,36507674793248,12297,189876,36507674793248,73.25
all,All,never_spent,703172,1460774,764057392538664,41560,42473,208352813755013,17.21
all,Other,active,1,1047,261299840471,0,0,0,0.00
all,Other,all,3,1050,261311340471,2,3,11500000,0.00
all,Other,never_spent,2,3,11500000,2,3,11500000,0.00
all,P2PK,active,7,16,85052869524,11,16,85052869524,0.01
all,P2PK,all,41550,42388,208480437714854,41552,42387,208480437714854,17.17
all,P2PK,inactive,17,17,48141000000,18,17,48141000000,0.01
all,P2PK,never_spent,41526,42355,208347243845330,41523,42354,208347243845330,17.16
all,P2PKH,active,164278,665799,199085796734784,164280,665799,199085796734784,262.07
all,P2PKH,all,838189,2274053,791133106096163,176613,855774,235550888937715,335.36
all,P2PKH,inactive,12280,189859,36459533793248,12281,189859,36459533793248,73.24
all,P2PKH,never_spent,661631,1418395,555587775568131,52,116,5558409683,0.05
all,P2SH,active,7,15,1781584492,7,15,1781584492,0.01
all,P2SH,all,20,36,124143209695,7,15,1781584492,0.01
all,P2SH,never_spent,13,21,122361625203,0,0,0,0.00
ge1,All,active,22047,340277,199078941426142,22047,339230,198817641585671,130.89
ge1,All,all,153770,951829,997576245856388,69069,481690,443552497629570,186.65
ge1,All,inactive,5571,100112,36383110369880,5571,100112,36383110369880,38.89
ge1,All,never_spent,126152,511440,762114194060366,41451,42348,208351745674019,16.87
ge1,Other,active,1,1047,261299840471,0,0,0,0.00
ge1,Other,all,1,1047,261299840471,0,0,0,0.00
ge1,P2PK,active,5,13,85050007201,9,13,85050007201,0.03
ge1,P2PK,all,41472,42297,208479534585525,41474,42296,208479534585525,17.23
ge1,P2PK,inactive,16,16,48140000000,17,16,48140000000,0.32
