balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2482827,13266434,305912625613907,2483471,13266434,305912625613907,2386.35
all,All,all,38610679,75260695,1881245004249804,7048339,29394998,581010038618539,13631.48
all,All,inactive,4261395,15968538,101242545516698,4262337,15782474,100980415979317,3025.20
all,All,never_spent,31866457,46025723,1474089833119199,302531,346090,174116997025315,8219.93
all,Other,active,194,210,1626000,194,210,1626000,0.04
all,Other,all,234286,430452,265281007705,234274,244372,3151461177,75.76
all,Other,inactive,2526,191444,262597853674,2526,5380,468316293,33.69
all,Other,never_spent,231566,238798,2681528031,231554,238782,2681518884,42.03
all,P2PK,active,57,3290,33104906,57,3290,33104906,0.37
all,P2PK,all,38181,48993,173917389945458,38195,48992,173912389945458,5.44
all,P2PK,inactive,267,7523,23750485241,278,7523,23750485241,0.84
all,P2PK,never_spent,37857,38180,173893606355311,37860,38179,173888606355311,4.24
all,P2PKH,active,1184783,8638187,86488885673529,1184849,8638187,86488885673529,1658.53
all,P2PKH,all,24589748,53482075,912765314612894,4892063,22641673,161636331780746,10268.56
all,P2PKH,inactive,3646346,13936582,74992388403228,3646360,13936582,74992388403228,2675.82
all,P2PKH,never_spent,19758619,30907306,751284040536137,60854,66904,155057703989,5934.20
all,P2SH,active,795430,3227547,157506984265880,795936,3227547,157506984265880,568.05
all,P2SH,all,8230289,13706051,540974911564633,1357611,4937524,178585912092716,2412.26
all,P2SH,inactive,560761,1709977,21078927826836,561675,1709977,21078927826836,300.96
all,P2SH,never_spent,6874098,8768527,362388999471917,0,0,0,1543.26
all,P2TR,all,2,2,2024,2,2,2024,0.00
all,P2TR,never_spent,2,2,2024,2,2,2024,0.00
all,P2WPKH,active,494070,1319232,24052809281838,494121,1319232,24052809281838,147.75
all,P2WPKH,all,5121379,7078853,197570528398231,546254,1441421,27647662339593,792.83
all,P2WPKH,inactive,50283,119966,3524201612648,50290,119966,3524201612648,13.44
all,P2WPKH,never_spent,4577026,5639655,169993517503745,1843,2223,70651445107,631.64
all,P2WSH,active,8293,77968,37863911661754,8439,77968,37863911661754,11.62
all,P2WSH,all,396794,514269,55751578718859,9670,81014,39224590996825,76.63
all,P2WSH,inactive,1212,3046,1360679335071,1231,3046,1360679335071,0.45
all,P2WSH,never_spent,387289,433255,16526987722034,0,0,0,64.55
ge1,All,active,50580,4456274,300444294386480,51224,4456274,300444294386480,825.99
ge1,All,all,807731,8177228,1782429230483366,127881,5688195,569429458477031,1488.14
ge1,All,inactive,40810,1379798,95156824248876,41752,1193734,94894694711495,256.38
ge1,All,never_spent,716341,2341156,1386828111848010,34905,38187,174090469379056,405.77
ge1,Other,all,5,186074,262727551612,9,10,598014231,32.75
ge1,Other,inactive,2,186070,262331841971,2,6,202304590,32.75
ge1,Other,never_spent,3,4,395709641,7,4,395709641,0.00
ge1,P2PK,all,34853,34932,173902277729020,34867,34931,173897277729020,3.88
ge1,P2PK,inactive,9,9,23264000000,20,9,23264000000,0.00
ge1,P2PK,never_spent,34844,34923,173879013729020,34847,34922,173874013729020,3.88
ge1,P2PKH,active,17830,3475637,84469657654195,17896,3475637,84469657654195,667.32
ge1,P2PKH,all,315513,5717227,872523011637297,79294,4482579,154710784536206,1097.71
ge1,P2PKH,inactive,31785,1003773,70091014021228,31799,1003773,70091014021228,192.72
ge1,P2PKH,never_spent,265898,1237817,717962339961874,29599,3169,150112860783,237.66
ge1,P2SH,active,21654,729858,155567555181552,22160,729858,155567555181552,128.46
ge1,P2SH,all,296022,1570820,507149797600030,31208,880209,175573747118566,276.46
ge1,P2SH,inactive,8134,150351,20006191937014,9048,150351,20006191937014,26.46
ge1,P2SH,never_spent,266234,690611,331576050481464,0,0,0,121.55
ge1,P2WPKH,active,10333,193427,22595485592694,10384,193427,22595485592694,21.66
ge1,P2WPKH,all,153396,600367,174231719831537,11272,232794,26077090925263,67.24
ge1,P2WPKH,inactive,847,39275,3415658252957,854,39275,3415658252957,4.40
