balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,909,4068,73346251416159,909,4068,73346251416159,0.78
all,All,all,65353,71891,500000000000000,53345,56511,338121987693960,9.55
all,All,inactive,20,22,646923000000,20,22,646923000000,0.00
all,All,never_spent,64424,67801,426006825583841,52416,52421,264128813277801,8.77
all,Other,all,1,3,3000000,0,0,0,0.00
all,Other,never_spent,1,3,3000000,0,0,0,0.00
all,P2PK,active,9,9,20803000000,9,9,20803000000,0.00
all,P2PK,all,52442,52446,264199446277801,52441,52445,264199446277801,5.82
all,P2PK,inactive,16,16,49922000000,17,16,49922000000,0.00
all,P2PK,never_spent,52417,52421,264128721277801,52415,52420,264128721277801,5.82
all,P2PKH,active,900,4059,73325448416159,900,4059,73325448416159,0.78
all,P2PKH,all,12910,19442,235800550722199,906,4066,73922541416159,3.73
all,P2PKH,inactive,4,6,597001000000,5,6,597001000000,0.00
all,P2PKH,never_spent,12006,15377,161878101306040,1,1,92000000,2.95
ge1,All,active,568,3560,73339490119940,568,3560,73339490119940,0.68
ge1,All,all,57103,62933,499888127756560,52910,55908,338114212397653,7.84
ge1,All,inactive,19,21,646922000000,19,21,646922000000,0.00
ge1,All,never_spent,56516,59352,425901715636620,52323,52327,264127800277713,7.16
ge1,P2PK,active,8,8,20802000000,8,8,20802000000,0.00
ge1,P2PK,all,52349,52352,264198524277713,52348,52351,264198524277713,5.81
ge1,P2PK,inactive,16,16,49922000000,17,16,49922000000,0.00
ge1,P2PK,never_spent,52325,52328,264127800277713,52323,52327,264127800277713,5.81
ge1,P2PKH,active,560,3552,73318688119940,560,3552,73318688119940,0.68
ge1,P2PKH,all,4754,10581,235689603478847,564,3557,73915688119940,2.03
ge1,P2PKH,inactive,3,5,597000000000,4,5,597000000000,0.00
ge1,P2PKH,never_spent,4191,7024,161773915358907,0,0,0,1.35
ge10,All,active,403,3029,73294371908637,403,3029,73294371908637,0.58
ge10,All,all,54846,59042,498938659344051,52693,55325,338050124186350,7.10
ge10,All,inactive,17,19,646678000000,17,19,646678000000,0.00
ge10,All,never_spent,54426,55994,424997609435414,52273,52277,264109074277713,6.52
ge10,P2PK,active,5,5,19528000000,5,5,19528000000,0.00
ge10,P2PK,all,52294,52297,264178280277713,52293,52296,264178280277713,5.80
ge10,P2PK,inactive,14,14,49678000000,15,14,49678000000,0.00
ge10,P2PK,never_spent,52275,52278,264109074277713,52273,52277,264109074277713,5.80
ge10,P2PKH,active,398,3024,73274843908637,398,3024,73274843908637,0.58
ge10,P2PKH,all,2552,6745,234760379066338,402,3029,73871843908637,1.30
ge10,P2PKH,inactive,3,5,597000000000,4,5,597000000000,0.00
ge10,P2PKH,never_spent,2151,3716,160888535157701,0,0,0,0.71
ge100,All,active,243,2291,72742507905959,243,2291,72742507905959,0.44
ge100,All,all,1351,4467,233024760905959,390,2443,76870211905959,0.85
ge100,All,inactive,1,3,590000000000,1,3,590000000000,0.00
ge100,All,never_spent,1107,2173,159692253000000,146,149,3537704000000,0.41
ge100,P2PK,all,146,149,3537704000000,146,149,3537704000000,0.02
ge100,P2PK,never_spent,146,149,3537704000000,146,149,3537704000000,0.02
ge100,P2PKH,active,243,2291,72742507905959,243,2291,72742507905959,0.44
ge100,P2PKH,all,1205,4318,229487056905959,244,2294,73332507905959,0.83
ge100,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
ge100,P2PKH,never_spent,961,2024,156154549000000,0,0,0,0.39
ge1000,All,active,100,1400,68447054905919,100,1400,68447054905919,0.27
ge1000,All,all,351,2089,206111432905919,104,1406,69710271905919,0.40
ge1000,All,inactive,1,3,590000000000,1,3,590000000000,0.00
ge1000,All,never_spent,250,686,137074378000000,3,3,673217000000,0.13
ge1000,P2PK,all,3,3,673217000000,3,3,673217000000,0.00
ge1000,P2PK,never_spent,3,3,673217000000,3,3,673217000000,0.00
ge1000,P2PKH,active,100,1400,68447054905919,100,1400,68447054905919,0.27
ge1000,P2PKH,all,348,2086,205438215905919,101,1403,69037054905919,0.40
ge1000,P2PKH,inactive,1,3,590000000000,1,3,590000000000,0.00
ge1000,P2PKH,never_spent,247,683,136401161000000,0,0,0,0.13
