balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,2745804,43403661,335060675575305,2751272,43403661,335060675575305,5050.34
all,All,all,58599418,165074762,2001237303021483,16039132,102537311,692086782931615,22652.46
all,All,inactive,7866052,50060094,170105395875195,7869432,50060094,170105395875195,6789.96
all,All,never_spent,47987562,71611007,1496071231570983,5418428,9073556,186920711481115,10812.16
all,Other,active,294,515,2047500,294,515,2047500,0.09
all,Other,all,2456739,2680481,268827936957,2397004,2423104,6034154121,471.76
all,Other,inactive,2206,4203,465735293,2207,4203,465735293,0.74
all,Other,never_spent,2454239,2675763,268360154164,2394503,2418386,5566371328,470.93
all,P2PK,active,3,20,145000,3,20,145000,0.00
all,P2PK,all,37671,44642,171631957807589,37685,44641,171631957807589,4.96
all,P2PK,inactive,330,6939,23708222160,339,6939,23708222160,0.77
all,P2PK,never_spent,37338,37683,171608249440429,37343,37682,171608249440429,4.18
all,P2PKH,active,352833,3654799,40443132901524,352973,3654799,40443132901524,701.72
all,P2PKH,all,21507658,44991818,466607593023685,4142872,17975838,119970751524223,8638.43
all,P2PKH,inactive,3716971,14145182,79459834314649,3717042,14145182,79459834314649,2715.87
all,P2PKH,never_spent,17437854,27191837,346704625807512,72857,175857,67784308050,5220.83
all,P2SH,active,212046,1890537,68281170283730,215318,1890537,68281170283730,332.73
all,P2SH,all,6288472,12249678,395559094412128,1165605,5733058,127116314213944,2155.94
all,P2SH,inactive,947775,3842521,58835143930214,950287,3842521,58835143930214,676.28
all,P2SH,never_spent,5128651,6516620,268442780198184,0,0,0,1146.93
all,P2TR,active,760928,25989166,4829235234181,760928,25989166,4829235234181,2676.88
all,P2TR,all,4817907,54505184,20558080467387,4817907,54505184,20558080467387,5614.03
all,P2TR,inactive,1115878,22086455,542931827861,1115878,22086455,542931827861,2274.90
all,P2TR,never_spent,2941101,6429563,15185913405345,2941101,6429563,15185913405345,662.24
all,P2WPKH,active,1372488,11608575,160190862304625,1372581,11608575,160190862304625,1300.16
all,P2WPKH,all,22344183,47905473,810161884858351,3422921,21481568,183950885833447,5365.41
all,P2WPKH,inactive,2043447,9860925,23706825572859,2043502,9860925,23706825572859,1104.42
all,P2WPKH,never_spent,18928248,26435973,626264196980867,6838,12068,53197955963,2960.83
all,P2WSH,active,47212,260049,61316272658745,49432,260049,61316272658745,38.75
all,P2WSH,all,1146788,2697486,136449864515386,89749,373918,68852758930904,401.93
all,P2WSH,inactive,39445,113869,7536486272159,40317,113869,7536486272159,16.97
all,P2WSH,never_spent,1060131,2323568,67597105584482,0,0,0,346.21
ge1,All,active,41175,4840874,330273116970608,46643,4840874,330273116970608,757.31
