balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,26080,303686,88481273877473,26078,303678,88480971671559,117.48
all,All,all,540951,1126699,749999998999999,69853,347997,314569411568313,135.55
all,All,inactive,210,709,7807223331149,210,709,7807223331149,0.28
all,All,never_spent,514661,822304,653711501791377,43565,43610,218281216565605,17.79
all,Other,active,1,8,302205914,0,0,0,0.00
all,Other,all,1,8,302205914,0,0,0,0.00
all,P2PK,active,16,19,83636950000,16,19,83636950000,0.01
all,P2PK,all,43587,43616,218399785031375,43586,43615,218399785031375,17.79
all,P2PK,inactive,14,14,38954000000,15,14,38954000000,0.01
all,P2PK,never_spent,43557,43583,218277194081375,43555,43582,218277194081375,17.78
all,P2PKH,active,26063,303659,88397334721559,26063,303659,88397334721559,117.47
all,P2PKH,all,497363,1083075,531599911762710,26274,304382,96169626536938,117.76
all,P2PKH,inactive,196,695,7768269331149,197,695,7768269331149,0.28
all,P2PKH,never_spent,471104,778721,435434307710002,14,28,4022484230,0.01
ge1,All,active,15081,202858,88246683596444,15079,202850,88246381390530,78.37
ge1,All,all,108350,525008,748489392728518,58627,246878,314331692921740,96.32
ge1,All,inactive,105,558,7805768131149,105,558,7805768131149,0.22
ge1,All,never_spent,93164,321592,652436941000925,43443,43470,218279543400061,17.74
ge1,Other,active,1,8,302205914,0,0,0,0.00
ge1,Other,all,1,8,302205914,0,0,0,0.00
ge1,P2PK,active,16,19,83636950000,16,19,83636950000,0.01
ge1,P2PK,all,43474,43502,218398233350061,43473,43501,218398233350061,17.75
ge1,P2PK,inactive,13,13,38953000000,14,13,38953000000,0.01
ge1,P2PK,never_spent,43445,43470,218275643400061,43443,43469,218275643400061,17.74
ge1,P2PKH,active,15064,202831,88162744440530,15064,202831,88162744440530,78.36
ge1,P2PKH,all,64875,481498,530090857172543,15161,203377,95933459571679,78.58
ge1,P2PKH,inactive,92,545,7766815131149,93,545,7766815131149,0.21
ge1,P2PKH,never_spent,49719,278122,434161297600864,4,1,3900000000,0.00
ge10,All,active,6488,136466,84995426163525,6487,136466,84995426163525,52.56
ge10,All,all,68347,316441,734974341800891,49959,180250,311055111715568,70.42
ge10,All,inactive,68,364,7793703026060,68,364,7793703026060,0.14
ge10,All,never_spent,61791,179611,642185212611306,43404,43420,218265982525983,17.72
ge10,P2PK,active,15,18,83373950000,15,18,83373950000,0.01
ge10,P2PK,all,43432,43449,218383509475983,43431,43448,218383509475983,17.73
ge10,P2PK,inactive,11,11,38053000000,12,11,38053000000,0.01
ge10,P2PK,never_spent,43406,43420,218262082525983,43404,43419,218262082525983,17.72
ge10,P2PKH,active,6473,136448,84912052213525,6473,136448,84912052213525,52.55
ge10,P2PKH,all,24915,272992,516590832324908,6535,136802,92671602239585,52.69
ge10,P2PKH,inactive,57,353,7755650026060,58,353,7755650026060,0.14
ge10,P2PKH,never_spent,18385,136191,423923130085323,4,1,3900000000,0.00
ge100,All,active,1021,32907,68643462879442,1020,32907,68643462879442,12.65
ge100,All,all,5014,53111,458343523472183,1114,33208,77908006865433,12.77
ge100,All,inactive,30,223,7661374026060,30,223,7661374026060,0.09
ge100,All,never_spent,3963,19981,382038686566681,64,78,1603169959931,0.03
ge100,P2PK,active,1,4,19186950000,1,4,19186950000,0.00
ge100,P2PK,all,65,82,1622356909931,65,82,1622356909931,0.03
ge100,P2PK,never_spent,64,78,1603169959931,64,78,1603169959931,0.03
ge100,P2PKH,active,1020,32903,68624275929442,1020,32903,68624275929442,12.65
ge100,P2PKH,all,4949,53029,456721166562252,1050,33126,76285649955502,12.74
ge100,P2PKH,inactive,30,223,7661374026060,30,223,7661374026060,0.09
ge100,P2PKH,never_spent,3899,19903,380435516606750,0,0,0,0.00
ge1000,All,active,116,1676,46641723465058,116,1676,46641723465058,0.65
ge1000,All,all,648,4538,358435127112760,126,1733,54010070465058,0.67
ge1000,All,inactive,9,56,7045030000000,9,56,7045030000000,0.02
ge1000,All,never_spent,523,2806,304748373647702,1,1,323317000000,0.00
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,116,1676,46641723465058,116,1676,46641723465058,0.65
ge1000,P2PKH,all,647,4537,358111810112760,125,1732,53686753465058,0.67
ge1000,P2PKH,inactive,9,56,7045030000000,9,56,7045030000000,0.02
ge1000,P2PKH,never_spent,522,2805,304425056647702,0,0,0,0.00
